keyword,trends_volume_index_12m,serp_competition_score_0_100,strong_domain_share,vertical_competitor_share
abn amro doorlopend krediet zakelijk,0.75,93,0.9,0.0
abn amro zakelijk doorlopend krediet,0.75,93,0.9,0.0
abn factuur verkopen,0.38,46,0.222,0.0
abn zakelijk doorlopend krediet,0.73,65,0.5,0.0
actuele rente rekening courant krediet,0.75,72,0.6,0.0
aflossing lening berekenen excel,0.0,30,0.0,0.0
aflossingstabel lening berekenen excel,0.38,30,0.0,0.0
aif lage liquiditeit,0.0,30,0.0,0.0
annuïtaire lening berekenen excel,0.38,38,0.111,0.0
auto verkopen factuur maken,0.38,30,0.0,0.0
auto verkopen factuur voorbeeld,0.71,30,0.0,0.0
bank lening calculator,0.38,58,0.4,0.0
belfius lening calculator,0.38,30,0.0,0.0
bereidstellingsprovisie rekening courant krediet,0.0,72,0.6,0.0
berekenen lening op afbetaling,0.0,51,0.3,0.0
berekenen van lening,0.0,58,0.4,0.0
bijtelling omzetbelasting youngtimer,0.0,44,0.2,0.0
bkr inlog zakelijk,0.0,44,0.2,0.0
bkr registratie telefoon zakelijk,0.0,30,0.0,0.0
bkr registratie zakelijk,0.0,47,0.1,0.2
bkr registratie zakelijk krediet,0.0,52,0.1,0.3
bkr zakelijk,0.0,35,0.0,0.1
bkr zakelijk bellen,0.0,37,0.1,0.0
bkr zakelijk contact,0.0,37,0.1,0.0
bkr zakelijk inloggen,0.0,49,0.2,0.1
bkr zakelijk inzien,0.0,30,0.0,0.0
bkr zakelijk krediet,0.0,47,0.1,0.2
bkr zakelijk opvragen,0.67,30,0.0,0.0
bkr zakelijk portaal,0.64,30,0.0,0.0
bkr zakelijk portaal inloggen,0.38,30,0.0,0.0
bkr zakelijk telefoonnummer,0.0,30,0.0,0.0
bkr zakelijke lease,0.74,37,0.1,0.0
bkr zakelijke lening,0.5,52,0.1,0.3
bmw x1,49.77,30,0.0,0.0
bmw x2,38.51,30,0.0,0.0
bmw x3,57.16,30,0.0,0.0
bmw x3 hybride,0.0,30,0.0,0.0
bmw x4,56.82,30,0.0,0.0
bmw x5,44.05,30,0.0,0.0
bmw x5 m,2.18,30,0.0,0.0
bmw x6,57.07,30,0.0,0.0
bmw x7,42.9,30,0.0,0.0
bmw xm,18.92,30,0.0,0.0
btw,44.9,56,0.375,0.0
btw dagen mediamarkt,4.61,30,0.0,0.0
btw denemarken,0.48,51,0.3,0.0
btw diensten,38.83,65,0.5,0.0
btw diensten binnen eu,0.64,65,0.5,0.0
btw diensten buiten eu,1.17,64,0.5,0.0
btw drank,2.16,51,0.3,0.0
btw duits,6.17,30,0.0,0.0
btw duitsland,46.71,50,0.3,0.0
btw duitsland 2025,1.3,44,0.2,0.0
btw duitsland terugvragen,1.4,51,0.3,0.0
btw energie,10.79,44,0.2,0.0
btw energie 2025,0.38,51,0.3,0.0
btw engeland,7.15,51,0.3,0.0
btw engels,40.81,30,0.0,0.0
btw erbij rekenen,1.11,44,0.2,0.0
btw eruit halen,0.38,37,0.1,0.0
btw eten,24.19,44,0.2,0.0
btw eten en drinken,2.25,44,0.2,0.0
btw eu landen,1.7,58,0.4,0.0
btw eu terugvragen,1.32,51,0.3,0.0
btw factuur,52.25,53,0.333,0.0
btw factuur aliexpress,0.41,30,0.0,0.0
btw fiets van de zaak,0.74,51,0.3,0.0
btw finland,0.77,44,0.2,0.0
btw fix dropshipping,0.38,30,0.0,0.0
btw food,1.16,44,0.2,0.0
btw formulier,6.77,53,0.333,0.0
btw fotograaf,0.4,44,0.2,0.0
btw frankrijk,8.77,44,0.2,0.0
btw frisdrank,0.87,51,0.3,0.0
btw garage,0.87,44,0.2,0.0
btw garage reparatie,0.72,44,0.2,0.0
btw gemeenten,0.38,37,0.1,0.0
btw glas vervangen,0.38,44,0.2,0.0
btw glaszetten,0.72,44,0.2,0.0
btw glazenwasser,0.0,44,0.2,0.0
btw gras op stam,0.0,44,0.2,0.0
btw griekenland,0.38,44,0.2,0.0
btw groente en fruit,1.95,44,0.2,0.0
btw groente en fruit 2025,0.38,37,0.1,0.0
btw hagra,27.23,30,0.0,0.0
btw hoofdletters,0.41,30,0.0,0.0
btw hoog,38.45,46,0.222,0.0
btw hoog tarief,3.58,51,0.3,0.0
btw hoog tarief 2025,0.38,51,0.3,0.0
btw horeca,8.13,46,0.222,0.0
btw horeca 2025,0.38,44,0.2,0.0
btw hotelovernachting,0.55,51,0.3,0.0
btw hotelovernachting 2025,0.38,44,0.2,0.0
btw hotelovernachting buitenland,0.0,44,0.2,0.0
btw id aanvragen young ones,0.38,37,0.1,0.0
btw id checken,0.42,71,0.6,0.0
btw id opzeggen,0.41,51,0.3,0.0
btw identificatienummer,13.26,65,0.5,0.0
btw ierland,1.86,58,0.4,0.0
btw in belgium,0.0,43,0.2,0.0
btw in duitsland,6.66,37,0.1,0.0
btw in engels,3.57,30,0.0,0.0
btw in het engels,0.9,30,0.0,0.0
btw italie,1.47,37,0.1,0.0
btw jaaraangifte,1.38,58,0.4,0.0
btw jaarplaats camping,0.38,37,0.1,0.0
btw jachthaven,0.38,44,0.2,0.0
btw januari 2026,0.38,44,0.2,0.0
btw japan,0.41,51,0.3,0.0
btw jeugdzorg,0.0,44,0.2,0.0
btw journalistiek,0.0,51,0.3,0.0
btw juridische kosten,1.06,44,0.2,0.0
btw jurisprudentie,1.01,30,0.0,0.0
btw kapper,1.61,44,0.2,0.0
btw kleding,2.73,51,0.3,0.0
btw koffie,1.84,44,0.2,0.0
btw kor,43.74,60,0.429,0.0
btw kranten,1.02,46,0.222,0.0
btw kunst,3.05,44,0.2,0.0
btw kwartaalaangifte,1.23,64,0.5,0.0
btw kwartalen,0.45,58,0.4,0.0
btw kwartalen 2025,0.74,58,0.4,0.0
btw laag sligro,0.41,46,0.222,0.0
btw laag tarief,20.28,51,0.3,0.0
btw laag tarief 2025,0.0,51,0.3,0.0
btw laag tarief sligro,0.0,46,0.222,0.0
btw landen eu,1.7,58,0.4,0.0
btw litouwen,0.38,51,0.3,0.0
btw logies,0.58,44,0.2,0.0
btw logies 2026,0.42,37,0.1,0.0
btw loodgieter,0.75,44,0.2,0.0
btw luxemburg,1.67,50,0.3,0.0
btw maanden,1.28,51,0.3,0.0
btw makelaar,0.42,37,0.1,0.0
btw marge auto,16.18,46,0.222,0.0
btw margeregeling,0.48,38,0.111,0.0
btw meaning,4.38,30,0.0,0.0
btw medicijnen,0.48,44,0.2,0.0
btw met hoofdletters,0.38,30,0.0,0.0
btw met of zonder hoofdletters,0.0,30,0.0,0.0
btw motor,1.31,30,0.0,0.0
btw muziekles volwassenen,0.38,44,0.2,0.0
btw nederland,45.55,51,0.3,0.0
btw nr opzoeken,0.43,65,0.5,0.0
btw nummer aanvragen,40.26,58,0.4,0.0
btw nummer checken,8.84,71,0.6,0.0
btw nummer opvragen,0.8,58,0.4,0.0
btw nummer opzeggen,1.7,51,0.3,0.0
btw nummer zoeken,12.7,72,0.6,0.0
btw of marge auto,1.58,37,0.1,0.0
btw omzetbelasting,30.56,77,0.667,0.0
btw ondernemers,16.56,69,0.556,0.0
btw op alcohol,0.47,44,0.2,0.0
btw op boeken,1.98,44,0.2,0.0
btw op eten,4.34,44,0.2,0.0
btw op hotelovernachting,0.38,37,0.1,0.0
btw op schilderwerk,0.42,44,0.2,0.0
btw over reiskosten,2.34,37,0.1,0.0
btw parkeerkosten,2.44,44,0.2,0.0
btw percentage,48.82,51,0.3,0.0
btw percentage 2025,0.0,51,0.3,0.0
btw percentage belgie,0.0,36,0.1,0.0
btw percentage duitsland,0.0,37,0.1,0.0
btw plichtig,0.0,57,0.4,0.0
btw plichtig of niet,0.0,57,0.4,0.0
btw polen,0.0,51,0.3,0.0
btw portugal,0.0,44,0.2,0.0
btw privégebruik auto 2024,0.0,44,0.2,0.0
btw q2,0.45,51,0.3,0.0
btw q2 2025,0.46,58,0.4,0.0
btw q3,1.44,51,0.3,0.0
btw quest legion,0.0,30,0.0,0.0
btw quests,0.68,30,0.0,0.0
btw quests addon,0.0,30,0.0,0.0
btw quick fixes,0.65,36,0.1,0.0
btw quiz,0.38,30,0.0,0.0
btw r/c,0.77,30,0.0,0.0
btw recreatiewoning,0.7,37,0.1,0.0
btw registratienummer,0.38,69,0.556,0.0
btw reiskosten,17.11,37,0.1,0.0
btw rekenmachine,7.29,37,0.1,0.0
btw relatiegeschenken,1.31,50,0.3,0.0
btw representatiekosten,0.49,51,0.3,0.0
btw restaurant,6.8,44,0.2,0.0
btw richtlijn,3.03,49,0.3,0.0
btw schilder,0.55,44,0.2,0.0
btw schilderwerk,11.85,44,0.2,0.0
btw schilderwerk zakelijk,0.96,44,0.2,0.0
btw schoonmaak,0.9,51,0.3,0.0
btw servicekosten 2025,0.38,30,0.0,0.0
btw sligro,5.3,30,0.0,0.0
btw spanje,0.0,37,0.1,0.0
btw sportschool,1.01,44,0.2,0.0
btw stucadoor,0.38,44,0.2,0.0
btw suppletie,7.8,44,0.2,0.0
btw tarief,45.32,51,0.3,0.0
btw tarief belgie,0.7,36,0.1,0.0
btw tarief duitsland,1.18,37,0.1,0.0
btw tarief schilder,0.38,44,0.2,0.0
btw tarieven 2025,1.19,51,0.3,0.0
btw teruggave thuisbatterij,0.59,37,0.1,0.0
btw terugrekenen,3.83,37,0.1,0.0
btw terugvragen,43.67,58,0.4,0.0
btw terugvragen buitenland,1.13,58,0.4,0.0
btw treinkaartje,1.71,44,0.2,0.0
btw uber,1.38,36,0.1,0.0
btw uit bedrag halen,1.82,37,0.1,0.0
btw uit een bedrag halen,0.0,37,0.1,0.0
btw uit eten,0.4,44,0.2,0.0
btw uitleg,0.83,46,0.222,0.0
btw uitstel aanvragen,1.46,49,0.2,0.1
btw uitvoeringsverordening,1.0,42,0.2,0.0
btw uk,4.39,44,0.2,0.0
btw usa,2.09,53,0.333,0.0
btw vakantiewoning,2.9,44,0.2,0.0
btw verhoging,3.48,51,0.3,0.0
btw verhoging hotels,1.05,46,0.222,0.0
btw verhoging recreatie,0.46,44,0.2,0.0
btw verhuur vakantiewoning 2025,0.78,44,0.2,0.0
btw verlegd betekenis,0.38,50,0.3,0.0
btw verlegd wanneer,2.11,52,0.333,0.0
btw vrijstelling,47.39,51,0.3,0.0
btw waarom,20.52,44,0.2,0.0
btw wanneer,40.46,58,0.4,0.0
btw wanneer 9 of 21,0.0,58,0.4,0.0
btw wanneer betalen,4.16,65,0.5,0.0
btw wanneer ingevoerd,0.95,30,0.0,0.0
btw warmtepomp 2025,0.38,30,0.0,0.0
btw waterschapsbelasting,0.0,37,0.1,0.0
btw waterslaeghers,0.38,30,0.0,0.0
btw wc papier,0.0,43,0.2,0.0
btw weg ermee 2025,1.26,30,0.0,0.0
btw weg ermee mediamarkt,2.99,30,0.0,0.0
btw welke,34.57,72,0.6,0.0
btw welke maanden,0.38,51,0.3,0.0
btw wet,11.39,38,0.111,0.0
btw wijn,1.29,37,0.1,0.0
btw wijzigingen 2026,0.0,44,0.2,0.0
btw wiki,0.38,30,0.0,0.0
btw workshops,0.69,44,0.2,0.0
btw yoga,0.76,44,0.2,0.0
btw yoga 2025,0.0,44,0.2,0.0
btw yogalessen,0.0,44,0.2,0.0
