keyword,trends_volume_index_12m,serp_competition_score_0_100,strong_domain_share,vertical_competitor_share
btw verlegd wanneer,0.0,52,0.333,0.0
btw vrijstelling,0.0,51,0.3,0.0
btw waarom,0.0,44,0.2,0.0
btw wanneer,0.0,58,0.4,0.0
btw wanneer 9 of 21,0.0,58,0.4,0.0
btw wanneer betalen,0.0,65,0.5,0.0
btw wanneer ingevoerd,0.0,30,0.0,0.0
btw warmtepomp 2025,0.0,30,0.0,0.0
btw waterschapsbelasting,0.0,37,0.1,0.0
btw waterslaeghers,0.0,30,0.0,0.0
btw wc papier,0.0,43,0.2,0.0
btw weg ermee 2025,0.0,30,0.0,0.0
btw weg ermee mediamarkt,0.0,30,0.0,0.0
btw welke,0.0,72,0.6,0.0
btw welke maanden,0.0,51,0.3,0.0
btw wet,0.0,38,0.111,0.0
btw wijn,0.0,37,0.1,0.0
btw wijzigingen 2026,0.0,44,0.2,0.0
btw wiki,0.0,30,0.0,0.0
btw workshops,0.0,44,0.2,0.0
btw yoga,0.0,44,0.2,0.0
btw yoga 2025,0.0,44,0.2,0.0
btw yogalessen,0.0,44,0.2,0.0
