hub,keyword,priority_score
btw,btw frankrijk,1
btw,btw frisdrank,1
btw,btw garage,1
btw,btw gemeenten,1
btw,btw glaszetten,1
btw,btw glazenwasser,1
btw,btw griekenland,1
btw,btw hagra,2
btw,btw hoedanigheid,1
btw,btw hoefsmid,1
btw,btw hoofdletters,1
btw,btw hoog,2
btw,btw horeca,1
btw,btw hotelovernachting,1
btw,btw identificatienummer,1
btw,btw ierland,1
btw,btw italie,1
btw,btw jaaraangifte,1
btw,btw jachthaven,1
btw,btw japan,1
btw,btw jeugdzorg,1
btw,btw journalistiek,1
btw,btw jurisprudentie,1
btw,btw kapper,1
btw,btw kleding,1
btw,btw koffie,1
btw,btw kor,2
btw,btw kranten,1
btw,btw kunst,1
btw,btw kwartaalaangifte,0
btw,btw kwartalen,1
btw,btw litouwen,1
btw,btw logies,1
btw,btw loodgieter,1
btw,btw luxemburg,1
btw,btw maanden,1
btw,btw makelaar,1
btw,btw margeregeling,1
btw,btw meaning,1
btw,btw medicijnen,1
btw,btw motor,1
btw,btw nederland,2
btw,btw nummer,2
btw,btw omzetbelasting,1
btw,btw ondernemers,1
btw,btw parkeerkosten,1
btw,btw percentage,2
btw,btw plichtig,1
btw,btw polen,1
btw,btw portugal,1
btw,btw q2,1
btw,btw q3,1
btw,btw quests,1
btw,btw quiz,1
btw,btw r/c,1
btw,btw recreatiewoning,1
btw,btw registratienummer,0
btw,btw reiskosten,1
btw,btw rekenmachine,1
btw,btw relatiegeschenken,1
btw,btw representatiekosten,1
btw,btw restaurant,1
btw,btw richtlijn,1
btw,btw schilder,1
btw,btw schilderwerk,1
btw,btw schoonmaak,1
btw,btw sligro,1
btw,btw spanje,1
btw,btw sportschool,1
btw,btw stucadoor,1
btw,btw suppletie,1
btw,btw tarief,2
btw,btw terugrekenen,1
btw,btw terugvragen,2
btw,btw treinkaartje,1
btw,btw uber,1
btw,btw uitleg,1
btw,btw uitvoeringsverordening,1
btw,btw uk,1
btw,btw usa,1
btw,btw vakantiewoning,1
btw,btw verhoging,1
btw,btw verlegd,2
btw,btw vrijstelling,2
btw,btw water,1
btw,btw waterschapsbelasting,1
btw,btw waterslaeghers,1
btw,btw wet,1
btw,btw wijn,1
btw,btw wiki,1
btw,btw workshops,1
btw,btw yoga,1
btw,btw yogalessen,1
factoring,btw factuur,2
other,bkr zakelijk,1
other,bmw x1,2
other,bmw x2,2
other,bmw x3,2
other,bmw x4,2
other,bmw x5,2
other,bmw x6,2
other,bmw x7,2
other,bmw xm,1
other,kredietlijn,1
other,zakelijke lening,2
werkkapitaal,werkkapitaal,1
