hub,keyword,old_priority_score,new_priority_score,trends_volume_index_5y,serp_competition_score_0_100,strong_domain_share,vertical_competitor_share
btw,btw hoog tarief,1,1,3.58,51.0,0.3,0.0
btw,btw hoog tarief 2025,1,1,0.38,51.0,0.3,0.0
btw,btw horeca 2025,1,1,0.38,44.0,0.2,0.0
btw,btw hotelovernachting 2025,1,1,0.38,44.0,0.2,0.0
btw,btw hotelovernachting buitenland,1,1,0.0,44.0,0.2,0.0
btw,btw id aanvragen young ones,1,1,0.38,37.0,0.1,0.0
btw,btw id checken,0,0,0.42,71.0,0.6,0.0
btw,btw id opzeggen,1,1,0.41,51.0,0.3,0.0
btw,btw in belgium,1,1,0.0,43.0,0.2,0.0
btw,btw in duitsland,1,1,6.66,37.0,0.1,0.0
btw,btw in engels,1,1,3.57,30.0,0.0,0.0
btw,btw in het engels,1,1,0.9,30.0,0.0,0.0
btw,btw jaarplaats camping,1,1,0.38,37.0,0.1,0.0
btw,btw januari 2026,1,1,0.38,44.0,0.2,0.0
btw,btw juridische kosten,1,1,1.06,44.0,0.2,0.0
btw,btw kwartalen 2025,1,1,0.74,58.0,0.4,0.0
btw,btw laag sligro,1,1,0.41,46.0,0.222,0.0
btw,btw laag tarief,1,1,20.28,51.0,0.3,0.0
btw,btw laag tarief 2025,1,1,0.0,51.0,0.3,0.0
btw,btw laag tarief sligro,1,1,0.0,46.0,0.222,0.0
btw,btw landen eu,1,1,1.7,58.0,0.4,0.0
btw,btw logies 2026,1,1,0.42,37.0,0.1,0.0
btw,btw marge auto,1,1,16.18,46.0,0.222,0.0
btw,btw met hoofdletters,1,1,0.38,30.0,0.0,0.0
btw,btw met of zonder hoofdletters,1,1,0.0,30.0,0.0,0.0
btw,btw muziekles volwassenen,1,1,0.38,44.0,0.2,0.0
btw,btw nr opzoeken,0,0,0.43,65.0,0.5,0.0
btw,btw nummer aanvragen,1,2,40.26,58.0,0.4,0.0
btw,btw nummer checken,0,1,8.84,71.0,0.6,0.0
btw,btw nummer controleren,0,2,46.31,68.0,0.55,0.0
btw,btw nummer opvragen,1,1,0.8,58.0,0.4,0.0
btw,btw nummer opzeggen,1,1,1.7,51.0,0.3,0.0
btw,btw nummer opzoeken,0,2,57.32,72.0,0.6,0.0
btw,btw nummer zoeken,0,1,12.7,72.0,0.6,0.0
btw,btw of marge auto,1,1,1.58,37.0,0.1,0.0
btw,btw op alcohol,1,1,0.47,44.0,0.2,0.0
btw,btw op boeken,1,1,1.98,44.0,0.2,0.0
btw,btw op eten,1,1,4.34,44.0,0.2,0.0
btw,btw op hotelovernachting,1,1,0.38,37.0,0.1,0.0
btw,btw op schilderwerk,1,1,0.42,44.0,0.2,0.0
btw,btw over reiskosten,1,1,2.34,37.0,0.1,0.0
btw,btw percentage 2025,1,1,0.0,51.0,0.3,0.0
btw,btw percentage belgie,1,1,0.0,36.0,0.1,0.0
btw,btw percentage duitsland,1,1,0.0,37.0,0.1,0.0
btw,btw plichtig of niet,1,1,0.0,57.0,0.4,0.0
btw,btw privégebruik auto 2024,1,1,0.0,44.0,0.2,0.0
btw,btw q2 2025,1,1,0.46,58.0,0.4,0.0
btw,btw quest legion,1,1,0.0,30.0,0.0,0.0
btw,btw quests addon,1,1,0.0,30.0,0.0,0.0
btw,btw quick fixes,1,1,0.65,36.0,0.1,0.0
btw,btw schilderwerk zakelijk,1,1,0.96,44.0,0.2,0.0
btw,btw servicekosten 2025,1,1,0.38,30.0,0.0,0.0
btw,btw tarief belgie,1,1,0.7,36.0,0.1,0.0
btw,btw tarief duitsland,1,1,1.18,37.0,0.1,0.0
btw,btw tarief schilder,1,1,0.38,44.0,0.2,0.0
btw,btw tarieven 2025,1,1,1.19,51.0,0.3,0.0
btw,btw teruggave thuisbatterij,1,1,0.59,37.0,0.1,0.0
btw,btw terugvragen buitenland,1,1,1.13,58.0,0.4,0.0
btw,btw uit bedrag halen,1,1,1.82,37.0,0.1,0.0
btw,btw uit een bedrag halen,1,1,0.0,37.0,0.1,0.0
btw,btw uit eten,1,1,0.4,44.0,0.2,0.0
btw,btw uitstel aanvragen,1,1,1.46,49.0,0.2,0.1
btw,btw verhoging hotels,1,1,1.05,46.0,0.222,0.0
btw,btw verhoging recreatie,1,1,0.46,44.0,0.2,0.0
btw,btw verhuur vakantiewoning 2025,1,1,0.78,44.0,0.2,0.0
btw,btw verlegd betekenis,1,1,0.38,50.0,0.3,0.0
btw,btw vies check,1,2,42.05,57.0,0.4,0.0
btw,btw waarom,1,1,20.52,44.0,0.2,0.0
btw,btw wanneer,1,2,40.46,58.0,0.4,0.0
btw,btw warmtepomp 2025,1,1,0.38,30.0,0.0,0.0
btw,btw water 2025,1,1,0.38,44.0,0.2,0.0
btw,btw water belgie,1,1,0.0,36.0,0.1,0.0
btw,btw water softener,1,1,0.69,38.0,0.111,0.0
btw,btw wc papier,1,1,0.0,43.0,0.2,0.0
btw,btw weg ermee 2025,1,1,1.26,30.0,0.0,0.0
btw,btw weg ermee mediamarkt,1,1,2.99,30.0,0.0,0.0
btw,btw welke,0,1,34.57,72.0,0.6,0.0
btw,btw wijzigingen 2026,1,1,0.0,44.0,0.2,0.0
btw,btw yoga 2025,1,1,0.0,44.0,0.2,0.0
factoring,abn factuur verkopen,1,1,0.38,46.0,0.222,0.0
factoring,auto verkopen factuur maken,1,1,0.38,30.0,0.0,0.0
factoring,auto verkopen factuur voorbeeld,1,1,0.71,30.0,0.0,0.0
factoring,blue water factoring,1,1,0.0,30.0,0.0,0.0
factoring,blue water factoring company,1,1,0.0,30.0,0.0,0.0
factoring,btw factuur aliexpress,1,1,0.41,30.0,0.0,0.0
liquiditeit,aif lage liquiditeit,1,1,0.0,30.0,0.0,0.0
other,abn amro doorlopend krediet zakelijk,0,0,0.75,93.0,0.9,0.0
other,abn amro zakelijk doorlopend krediet,0,0,0.75,93.0,0.9,0.0
other,abn zakelijk doorlopend krediet,0,0,0.73,65.0,0.5,0.0
other,beobank kredietlijn verhogen,1,1,0.38,30.0,0.0,0.0
other,bereidstellingsprovisie rekening courant krediet,0,0,0.0,72.0,0.6,0.0
other,bkr inlog zakelijk,1,1,0.0,44.0,0.2,0.0
other,bkr registratie telefoon zakelijk,1,1,0.0,30.0,0.0,0.0
other,bkr registratie zakelijk,1,1,0.0,47.0,0.1,0.2
other,bkr registratie zakelijk krediet,1,1,0.0,52.0,0.1,0.3
other,bkr zakelijk bellen,1,1,0.0,37.0,0.1,0.0
other,bkr zakelijk contact,1,1,0.0,37.0,0.1,0.0
other,bkr zakelijk inloggen,1,1,0.0,49.0,0.2,0.1
other,bkr zakelijk inzien,1,1,0.0,30.0,0.0,0.0
other,bkr zakelijk krediet,1,1,0.0,47.0,0.1,0.2
other,bkr zakelijk opvragen,1,1,0.67,30.0,0.0,0.0
other,bkr zakelijk portaal,1,1,0.64,30.0,0.0,0.0
other,bkr zakelijk portaal inloggen,1,1,0.38,30.0,0.0,0.0
other,bkr zakelijk telefoonnummer,1,1,0.0,30.0,0.0,0.0
other,bkr zakelijke lease,1,1,0.74,37.0,0.1,0.0
other,bkr zakelijke lening,1,1,0.5,52.0,0.1,0.3
other,bmw x3 hybride,1,1,0.0,30.0,0.0,0.0
other,bmw x5 m,1,1,2.18,30.0,0.0,0.0
btw,btw,1,2,44.9,56.0,0.375,0.0
btw,btw aangifte,0,1,23.36,77.0,0.667,0.0
btw,btw afkorting,1,1,9.83,40.0,0.15,0.0
btw,btw auto,1,2,29.59,44.0,0.2,0.0
btw,btw belasting,0,1,33.4,74.0,0.625,0.0
btw,btw belgie,1,2,56.59,46.0,0.25,0.0
btw,btw betalen,0,1,36.94,65.0,0.5,0.0
btw,btw betekenis,1,2,55.24,40.0,0.15,0.0
btw,btw boeken,1,1,4.0,44.0,0.2,0.0
btw,btw carrouselfraude,1,1,0.74,44.0,0.222,0.0
btw,btw centrale,1,1,2.29,38.0,0.111,0.0
btw,btw check,0,2,57.21,64.0,0.5,0.0
btw,btw code,0,1,30.11,69.0,0.556,0.0
btw,btw compensatiefonds,1,1,0.74,37.0,0.105,0.0
btw,btw denemarken,1,1,0.48,51.0,0.3,0.0
btw,btw diensten,0,2,38.83,65.0,0.5,0.0
btw,btw drank,1,1,2.16,51.0,0.3,0.0
btw,btw duits,1,1,6.17,30.0,0.0,0.0
btw,btw duitsland,1,2,46.71,50.0,0.3,0.0
btw,btw energie,1,1,10.79,44.0,0.2,0.0
btw,btw engeland,1,1,7.15,51.0,0.3,0.0
btw,btw engels,1,2,40.81,30.0,0.0,0.0
btw,btw eten,1,1,24.19,44.0,0.2,0.0
btw,btw finland,1,1,0.77,44.0,0.2,0.0
btw,btw food,1,1,1.16,44.0,0.2,0.0
btw,btw formulier,1,1,6.77,53.0,0.333,0.0
btw,btw fotograaf,1,1,0.4,44.0,0.2,0.0
btw,btw frankrijk,1,1,8.77,44.0,0.2,0.0
btw,btw frisdrank,1,1,0.87,51.0,0.3,0.0
btw,btw garage,1,1,0.87,44.0,0.2,0.0
btw,btw gemeenten,1,1,0.38,37.0,0.1,0.0
btw,btw glaszetten,1,1,0.72,44.0,0.2,0.0
btw,btw glazenwasser,1,1,0.0,44.0,0.2,0.0
btw,btw griekenland,1,1,0.38,44.0,0.2,0.0
btw,btw hagra,1,2,27.23,30.0,0.0,0.0
btw,btw hoedanigheid,1,1,0.76,44.0,0.2,0.0
btw,btw hoefsmid,1,1,0.38,37.0,0.1,0.0
btw,btw hoofdletters,1,1,0.41,30.0,0.0,0.0
btw,btw hoog,1,2,38.45,46.0,0.222,0.0
btw,btw horeca,1,1,8.13,46.0,0.222,0.0
btw,btw hotelovernachting,1,1,0.55,51.0,0.3,0.0
btw,btw identificatienummer,0,1,13.26,65.0,0.5,0.0
btw,btw ierland,1,1,1.86,58.0,0.4,0.0
btw,btw italie,1,1,1.47,37.0,0.1,0.0
btw,btw jaaraangifte,1,1,1.38,58.0,0.4,0.0
btw,btw jachthaven,1,1,0.38,44.0,0.2,0.0
btw,btw japan,1,1,0.41,51.0,0.3,0.0
btw,btw jeugdzorg,1,1,0.0,44.0,0.2,0.0
btw,btw journalistiek,1,1,0.0,51.0,0.3,0.0
btw,btw jurisprudentie,1,1,1.01,30.0,0.0,0.0
btw,btw kapper,1,1,1.61,44.0,0.2,0.0
btw,btw kleding,1,1,2.73,51.0,0.3,0.0
btw,btw koffie,1,1,1.84,44.0,0.2,0.0
btw,btw kor,0,2,43.74,60.0,0.429,0.0
btw,btw kranten,1,1,1.02,46.0,0.222,0.0
btw,btw kunst,1,1,3.05,44.0,0.2,0.0
btw,btw kwartaalaangifte,0,0,1.23,64.0,0.5,0.0
btw,btw kwartalen,1,1,0.45,58.0,0.4,0.0
btw,btw litouwen,1,1,0.38,51.0,0.3,0.0
btw,btw logies,1,1,0.58,44.0,0.2,0.0
btw,btw loodgieter,1,1,0.75,44.0,0.2,0.0
btw,btw luxemburg,1,1,1.67,50.0,0.3,0.0
btw,btw maanden,1,1,1.28,51.0,0.3,0.0
btw,btw makelaar,1,1,0.42,37.0,0.1,0.0
btw,btw margeregeling,1,1,0.48,38.0,0.111,0.0
btw,btw meaning,1,1,4.38,30.0,0.0,0.0
btw,btw medicijnen,1,1,0.48,44.0,0.2,0.0
btw,btw motor,1,1,1.31,30.0,0.0,0.0
btw,btw nederland,1,2,45.55,51.0,0.3,0.0
btw,btw nummer,0,2,68.23,72.0,0.6,0.0
btw,btw omzetbelasting,0,1,30.56,77.0,0.667,0.0
btw,btw ondernemers,0,1,16.56,69.0,0.556,0.0
btw,btw parkeerkosten,1,1,2.44,44.0,0.2,0.0
btw,btw percentage,1,2,48.82,51.0,0.3,0.0
btw,btw plichtig,1,1,0.0,57.0,0.4,0.0
btw,btw polen,1,1,0.0,51.0,0.3,0.0
btw,btw portugal,1,1,0.0,44.0,0.2,0.0
btw,btw q2,1,1,0.45,51.0,0.3,0.0
btw,btw q3,1,1,1.44,51.0,0.3,0.0
btw,btw quests,1,1,0.68,30.0,0.0,0.0
btw,btw quiz,1,1,0.38,30.0,0.0,0.0
btw,btw r/c,1,1,0.77,30.0,0.0,0.0
btw,btw recreatiewoning,1,1,0.7,37.0,0.1,0.0
btw,btw registratienummer,0,0,0.38,69.0,0.556,0.0
btw,btw reiskosten,1,1,17.11,37.0,0.1,0.0
btw,btw rekenmachine,1,1,7.29,37.0,0.1,0.0
btw,btw relatiegeschenken,1,1,1.31,50.0,0.3,0.0
btw,btw representatiekosten,1,1,0.49,51.0,0.3,0.0
btw,btw restaurant,1,1,6.8,44.0,0.2,0.0
btw,btw richtlijn,1,1,3.03,49.0,0.3,0.0
btw,btw schilder,1,1,0.55,44.0,0.2,0.0
btw,btw schilderwerk,1,1,11.85,44.0,0.2,0.0
btw,btw schoonmaak,1,1,0.9,51.0,0.3,0.0
btw,btw sligro,1,1,5.3,30.0,0.0,0.0
btw,btw spanje,1,1,0.0,37.0,0.1,0.0
btw,btw sportschool,1,1,1.01,44.0,0.2,0.0
btw,btw stucadoor,1,1,0.38,44.0,0.2,0.0
btw,btw suppletie,1,1,7.8,44.0,0.2,0.0
btw,btw tarief,1,2,45.32,51.0,0.3,0.0
btw,btw terugrekenen,1,1,3.83,37.0,0.1,0.0
btw,btw terugvragen,1,2,43.67,58.0,0.4,0.0
btw,btw treinkaartje,1,1,1.71,44.0,0.2,0.0
btw,btw uber,1,1,1.38,36.0,0.1,0.0
btw,btw uitleg,1,1,0.83,46.0,0.222,0.0
btw,btw uitvoeringsverordening,1,1,1.0,42.0,0.2,0.0
btw,btw uk,1,1,4.39,44.0,0.2,0.0
btw,btw usa,1,1,2.09,53.0,0.333,0.0
btw,btw vakantiewoning,1,1,2.9,44.0,0.2,0.0
btw,btw verhoging,1,1,3.48,51.0,0.3,0.0
btw,btw verlegd,1,2,52.02,52.0,0.333,0.0
btw,btw vrijstelling,1,2,47.39,51.0,0.3,0.0
btw,btw water,1,1,2.28,44.0,0.2,0.0
btw,btw waterschapsbelasting,1,1,0.0,37.0,0.1,0.0
btw,btw waterslaeghers,1,1,0.38,30.0,0.0,0.0
btw,btw wet,1,1,11.39,38.0,0.111,0.0
btw,btw wijn,1,1,1.29,37.0,0.1,0.0
btw,btw wiki,1,1,0.38,30.0,0.0,0.0
btw,btw workshops,1,1,0.69,44.0,0.2,0.0
btw,btw yoga,1,1,0.76,44.0,0.2,0.0
btw,btw yogalessen,1,1,0.0,44.0,0.2,0.0
factoring,btw factuur,1,2,52.25,53.0,0.333,0.0
other,bkr zakelijk,1,1,0.0,35.0,0.0,0.1
other,bmw x1,1,2,49.77,30.0,0.0,0.0
other,bmw x2,1,2,38.51,30.0,0.0,0.0
other,bmw x3,1,2,57.16,30.0,0.0,0.0
other,bmw x4,1,2,56.82,30.0,0.0,0.0
other,bmw x5,1,2,44.05,30.0,0.0,0.0
other,bmw x6,1,2,57.07,30.0,0.0,0.0
other,bmw x7,1,2,42.9,30.0,0.0,0.0
other,bmw xm,1,1,18.92,30.0,0.0,0.0
other,kredietlijn,1,1,0.0,35.0,0.0,0.1
other,zakelijke lening,0,2,55.08,78.0,0.4,0.4
werkkapitaal,werkkapitaal,0,1,30.61,67.0,0.444,0.111
